round_id,ts,verdict,from,notes,train_json,angle_weight,time_weight,distance_weight,fit_weight,use_apl_loss,apl_target,OVERALL_B_RMSD,OVERALL_B_APL,OVERALL_B_good%,OVERALL_delta_RMSD,OVERALL_delta_APL,OVERALL_delta_good%,small_curves_B_RMSD,small_curves_delta_RMSD,small_curves_B_APL,small_curves_delta_APL,big_curves_B_RMSD,big_curves_delta_RMSD,big_curves_B_APL,big_curves_delta_APL
0608_tw4,2026-06-09T01:47:32,FAIL,,"APL 不够长, time_weight 3->4",data/data_Trajectory_v78_260525_jason_tcl_reduce_fast.json,10.0,4.0,10.0,10.0,False,0.8,1.175133,0.766608,50.796358,0.191505,-0.208372,26.84915,1.200632,0.188281,1.207334,-0.302263,2.401755,0.391471,1.493778,0.492411
0608_tw4,2026-06-09T17:03:36,FAIL,0608_base,tw 3->4,data/data_Trajectory_v78_260525_jason_tcl_reduce_fast.json,10.0,4.0,10.0,10.0,False,0.8,1.175133,0.766608,50.796358,0.191505,-0.208372,26.84915,1.200632,0.188281,1.207334,-0.302263,2.401755,0.391471,1.493778,0.492411
t0609_1728,2026-06-09T21:59:04,FAIL,,首通诊断,data/data_Trajectory_v78_260525_jason_tcl_reduce_fast.json,10.0,4.0,10.0,10.0,False,0.8,1.048567,1.526811,46.231268,0.064938,0.551831,22.284059,1.288542,0.276191,2.407496,0.897899,1.860595,-0.149689,2.589394,1.588027
